"nome","id","arquivo_gif","hash_gif","status_fonte"
"Elevação frontal com halteres sentado","media_006aaaa8382e13e34653","gifs/Exercícios sem marca d'água/Elevação frontal com halteres sentado.gif","9f7fff1063b31609205c120a94a67079754b09670d3abfe879bfcf9697808dcd","MIGRADO_FONTE_REVISADA"
"Elevação frontal com halteres sentado","media_c6150befa50c9d8f8236","gifs/ombros/Elevações laterais apoiadas no peito com halteres - Variação 3.gif","b7cba665ace50c301aca2faa3dfd06f742d8e201cd554be46df807624342f436","SEM_FONTE_REVISADA"
"Agachamento búlgaro com barra","media_0171af930b5923a97fad","gifs/Exercícios sem marca d'água/Agachamento búlgaro com barra.gif","43ef72dad35e397580da743d2469938c3b40c77f2527b57efa0c9a46c1d82333","MIGRADO_FONTE_REVISADA"
"Agachamento búlgaro com barra","media_9ec2a405b6e757d8957f","gifs/perna/Agachamento dividido búlgaro com barra.gif","989cb19026fe00db95c73c939de8d4f347822984814902a1dffd9247558885f4","SEM_FONTE_REVISADA"
"Elevação frontal alternada com halteres","media_075aed4bce982e87db50","gifs/ombros/Remada alta com barra - Variação 2.gif","a71491ec1a7f6caaaaf803954a5045dfdfbb1f2a79f10bb5fbf90b117db64a89","SEM_FONTE_REVISADA"
"Elevação frontal alternada com halteres","media_2ab7c051830a5ab0096d","gifs/Exercícios sem marca d'água/Elevação frontal alternado com halteres.gif","d06a3a5baca1bc23e08abf2f7485509fe9a45fc74deb66023dbacf43f8203367","MIGRADO_FONTE_REVISADA"
"Crucifixo inverso na máquina","media_0814ad01ce14be4d20be","gifs/costas/Remada delt traseira com halteres.gif","f9f636aef5e26fc2f3eef43189e56f255431d2cdf0a2dced0e627be21feae4c5","SEM_FONTE_REVISADA"
"Crucifixo inverso na máquina","media_3662cab0479c91c94a18","gifs/Exercícios sem marca d'água/Crucifixo traseira da máquina delt.gif","17264fdf198098bd2a6999f8714b6ab13adc5530e371b30179da8b912b09b309","MIGRADO_FONTE_REVISADA"
"Crucifixo inverso na máquina","media_d81cfb06437cf98e6e0f","gifs/ombros/Crucifixo traseira da máquina delt.gif","6e755692d5cb3ad3d919fa57af918a8e416ab468d2c462ee388b5297f2f53a0e","SEM_FONTE_REVISADA"
"Desenvolvimento militar com barra e pegada aberta","media_08279b0479d5199ce0b0","gifs/ombros/Cabo traseiro delt fly.gif","79c786daa7a1ff126ce0b8ee16be61090c1bcf474c072fa5e882898ac4ec981d","SEM_FONTE_REVISADA"
"Desenvolvimento militar com barra e pegada aberta","media_c4290788a9ffb48813ba","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/026_desenvolvimento_militar_com_barra_pegada_aberta.gif","48366c2e596f7bf5aeb5a2a4d99b2330752eee62b8df26be318fd007a797ed11","MIGRADO_FONTE_REVISADA"
"Elevação de pernas deitado","media_0839112e00d4f6719204","gifs/abdominais/Abdominal - Variação 9.gif","6a988e0bf67b394d78ccd6bc044f9c46d2c1aee44493f4a06fa68f1fdbec8fb9","SEM_FONTE_REVISADA"
"Elevação de pernas deitado","media_eb8a95c08f066f266c77","gifs/Exercícios sem marca d'água/Elevação da perna.gif","07cd27eec3321f3afbe96c4ec3dd2dec642e0bcaa7a866dd18d01607b942e084","MIGRADO_FONTE_REVISADA"
"Tríceps unilateral na polia","media_08bc51618baa755d1eb0","gifs/Exercícios sem marca d'água/Pushdown de tríceps com um braço.gif","068934683ada51c22d227eb8d959dcb9d6ba1cf47fe49286c398352380ab6e79","MIGRADO_FONTE_REVISADA"
"Tríceps unilateral na polia","media_a241ba83f892124f4539","gifs/tríceps/Band skull crusher - Variação 3.gif","e12903b542c50773e041b0e770a23fdd95c72d1b0e4dac1b867e781938485f6d","SEM_FONTE_REVISADA"
"Flexão de joelhos na bola suíça","media_1070a81e5b6958fb1ad9","gifs/perna/Hackear agachamento de panturrilha.gif","1ffea757e7634acdedb1afb61c8431eff1273730677fc598be6075623fcf9fe5","SEM_FONTE_REVISADA"
"Flexão de joelhos na bola suíça","media_c95c01dfe332cc066b32","gifs/Exercícios sem marca d'água/Flexão de perna na bola suíça.gif","b7c12b4e57be5d1265b1b3b24ef3d11db562abe1caab169df7f6352dd9279f90","MIGRADO_FONTE_REVISADA"
"Super-homem","media_166a78f87d50aeef5eb5","gifs/abdominais/Abdominal ponderada - Variação 2.gif","285980cb4b6e4257d1a4d2df284e9e570fdf3c8a0756d5aa511b02e9a9a04830","SEM_FONTE_REVISADA"
