"id","nome_antigo","nome_novo","gif_antigo","gif_novo","classificacao_antiga","grupo_principal_novo","secundarias_novas","descricao_atualizada","status","observacao"
"media_77a5114257259044cd07","Abdominais com peso","Abdominais com peso","gifs/Exercícios sem marca d'água/Abdominais com peso.gif","gifs/Exercícios sem marca d'água/Abdominais com peso.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_f075e92677cc4673279e","Abdominal ajoelhado na polia","Abdominal ajoelhado na polia","gifs/Exercícios sem marca d'água/Ajoelhado, trituração de cabo.gif","gifs/Exercícios sem marca d'água/Ajoelhado, trituração de cabo.gif","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core","Polia/Cabo | Academia","true","mapped","ID e mídia preservados"
"media_3a5e94dc465ccc26b77e","Abdominal bicicleta","Abdominal bicicleta","gifs/Exercícios sem marca d'água/Abdominal bicicleta.gif","gifs/Exercícios sem marca d'água/Abdominal bicicleta.gif","Abdômen/Core | Bicicleta | Academia","Abdômen/Core","Bicicleta | Academia","true","mapped","ID e mídia preservados"
"media_3d545b06480bf53339e9","Abdominal bicicleta com elástico","Abdominal bicicleta com elástico","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/019_abdominal_bicicleta_com_elastico.gif","gifs/Exercícios sem marca d'água/exercicios_renomeados_pt_br/019_abdominal_bicicleta_com_elastico.gif","Abdômen/Core | Elástico | Bicicleta | Academia","Abdômen/Core","Elástico | Bicicleta | Academia","true","mapped","ID e mídia preservados"
"media_47fe930c4acb2b9d8c8f","Abdominal borboleta","Abdominal borboleta","gifs/Exercícios sem marca d'água/Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado.gif","gifs/Exercícios sem marca d'água/Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_a37a954213fb262d1eaf","Abdominal borboleta - variação 2","Abdominal borboleta - variação 2","gifs/Exercícios sem marca d'água/Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado - Variação 2.gif","gifs/Exercícios sem marca d'água/Abdominal sapo - Supta baddha konasana reclinado ângulo vinculado - Variação 2.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_e94b760d6d4baa0f694b","Abdominal canivete","Abdominal canivete","gifs/Exercícios sem marca d'água/Abdominais canivetes.gif","gifs/Exercícios sem marca d'água/Abdominais canivetes.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_4b6205ed197a49fd5c51","Abdominal canivete com bola suíça","Abdominal canivete com bola suíça","gifs/abdominais/Prancha joelho a cotovelo.gif","gifs/abdominais/Prancha joelho a cotovelo.gif","Abdômen/Core | Bola | Academia","Abdômen/Core","Bola | Academia","true","mapped","ID e mídia preservados"
"media_0aa1cbef88826c8faf1e","Abdominal canivete com braços estendidos","Abdominal canivete com braços estendidos","gifs/abdominais/Deitado, joelho levantado - Variação 2.gif","gifs/abdominais/Deitado, joelho levantado - Variação 2.gif","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core","Sem aparelhos | Casa","true","mapped","ID e mídia preservados"
"media_a686b59552c9b7b9ac3e","Abdominal canivete com halteres","Abdominal canivete com halteres","gifs/abdominais/Lever deitado abdominal.gif","gifs/abdominais/Lever deitado abdominal.gif","Abdômen/Core | Halteres | Academia","Abdômen/Core","Halteres | Academia","true","mapped","ID e mídia preservados"
