"id","nome","source_folder","tags_secundarias","quantidade_secundarias","status"
"media_77a5114257259044cd07","Abdominais com peso","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominais com peso","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_f075e92677cc4673279e","Abdominal ajoelhado na polia","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal ajoelhado na polia","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_3a5e94dc465ccc26b77e","Abdominal bicicleta","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta","Bicicleta | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_3d545b06480bf53339e9","Abdominal bicicleta com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta com elástico","Elástico | Bicicleta | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_47fe930c4acb2b9d8c8f","Abdominal borboleta","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_a37a954213fb262d1eaf","Abdominal borboleta - variação 2","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta - variação 2","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_e94b760d6d4baa0f694b","Abdominal canivete","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_58c1d09f80ca964035e3","Abdominal canivete cruzado","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete cruzado","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_6945181e17155b7307ac","Abdominal com bola medicinal","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com bola medicinal","Bola | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_bd387741514a5b94b4d6","Abdominal com braços estendidos","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com braços estendidos","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_5e06069d1747a3642390","Abdominal com joelhos ao peito deitado","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com joelhos ao peito deitado","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_84f3c348d0bd0de5889a","Abdominal com joelhos na bola suíça","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com joelhos na bola suíça","Bola | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_df1298bc746a35c6e9cc","Abdominal com peso","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com peso","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_5959ba8a910cc4bd333e","Abdominal com roda","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com roda","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_268cab95eea048617e6e","Abdominal completo","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal completo","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_ecdd3a34b2d3919cdb19","Abdominal cruzado","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal cruzado","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_41eada67854ead35ddd5","Abdominal declinado","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal declinado","Banco | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_92cd324eddf81f9c7647","Abdominal em pé no cabo","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal em pé no cabo","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_6ce369b6689dbf8a4a1e","Abdominal lateral na bola suíça com peso","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral na bola suíça com peso","Bola | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_14d4dde1d41b863640bf","Abdominal lateral sentado","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral sentado","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_614eb5794d6c08c2ce86","Abdominal na máquina Ab Coaster","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina Ab Coaster","Máquina | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_2b8b21fdd1258627ca59","Abdominal no chão","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no chão","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
