"id","source_folder","campo","valor_antes","valor_source","valor_depois","status"
"media_77a5114257259044cd07","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominais com peso","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_77a5114257259044cd07","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominais com peso","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_f075e92677cc4673279e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal ajoelhado na polia","tags_secundarias","Academia","Polia/Cabo | Academia","Polia/Cabo | Academia","CORRIGIDO"
"media_f075e92677cc4673279e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal ajoelhado na polia","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core | Polia/Cabo | Academia","CORRIGIDO"
"media_3a5e94dc465ccc26b77e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta","tags_secundarias","Casa | Academia","Bicicleta | Academia","Bicicleta | Academia","CORRIGIDO"
"media_3a5e94dc465ccc26b77e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Bicicleta | Academia","Abdômen/Core | Bicicleta | Academia","CORRIGIDO"
"media_3d545b06480bf53339e9","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta com elástico","tags_secundarias","Casa | Academia","Elástico | Bicicleta | Academia","Elástico | Bicicleta | Academia","CORRIGIDO"
"media_3d545b06480bf53339e9","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal bicicleta com elástico","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Elástico | Bicicleta | Academia","Abdômen/Core | Elástico | Bicicleta | Academia","CORRIGIDO"
"media_47fe930c4acb2b9d8c8f","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_47fe930c4acb2b9d8c8f","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_a37a954213fb262d1eaf","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta - variação 2","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_a37a954213fb262d1eaf","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal borboleta - variação 2","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_e94b760d6d4baa0f694b","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal canivete","tags_secundarias","Academia | Casa","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
