"id","nome","nome_anterior","arquivo_gif","hash_gif","classificacao","possivel_equivalente_source","motivo"
"media_075aed4bce982e87db50","Elevação frontal alternada com halteres","Elevação frontal alternada com halteres","gifs/ombros/Remada alta com barra - Variação 2.gif","a71491ec1a7f6caaaaf803954a5045dfdfbb1f2a79f10bb5fbf90b117db64a89","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_0814ad01ce14be4d20be","Crucifixo inverso na máquina","Crucifixo inverso na máquina","gifs/costas/Remada delt traseira com halteres.gif","f9f636aef5e26fc2f3eef43189e56f255431d2cdf0a2dced0e627be21feae4c5","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_08279b0479d5199ce0b0","Desenvolvimento militar com barra e pegada aberta","Desenvolvimento militar com barra e pegada aberta","gifs/ombros/Cabo traseiro delt fly.gif","79c786daa7a1ff126ce0b8ee16be61090c1bcf474c072fa5e882898ac4ec981d","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_0839112e00d4f6719204","Elevação de pernas deitado","Elevação de pernas deitado","gifs/abdominais/Abdominal - Variação 9.gif","6a988e0bf67b394d78ccd6bc044f9c46d2c1aee44493f4a06fa68f1fdbec8fb9","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_1070a81e5b6958fb1ad9","Flexão de joelhos na bola suíça","Flexão de joelhos na bola suíça","gifs/perna/Hackear agachamento de panturrilha.gif","1ffea757e7634acdedb1afb61c8431eff1273730677fc598be6075623fcf9fe5","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_166a78f87d50aeef5eb5","Super-homem","Super-homem","gifs/abdominais/Abdominal ponderada - Variação 2.gif","285980cb4b6e4257d1a4d2df284e9e570fdf3c8a0756d5aa511b02e9a9a04830","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_18470f2c32d3b7a61a9d","Agachamento com salto","","gifs/Wrist circles alongamento.gif","066913b4b081da3c36aaf1ab772476a22836fcee7b9b13edf4f88638b6e2fe9c","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_1b5bc484b4df28642408","Abdominal bicicleta","Abdominal bicicleta","gifs/abdominais/Crunch com elevação da perna - Variação 4.gif","a881dfad2ea1e29f5fe771a154b24392d686b997b75a1f6daf6ad6166ff68b61","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_1b838128b9afdaab51f8","Abdominal ajoelhado na polia","Abdominal ajoelhado na polia","gifs/abdominais/Ajoelhado, trituração de cabo.gif","82e42823a1f0fffccd673d7c176442f087a3789236bdf7f9fdb79ab86e543f9f","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_1b95a3001e3ee0074fc5","Supino inclinado com halteres","Supino inclinado com halteres","gifs/peitoral/Supino inclinado com halteres.gif","d5cbf27d2c1a965c1b412c8e8b510322cf95f7ed63b1febaf459d1c26aadc62e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_2025674f14f6c158a4cd","Levantamento terra com barra - Variação 2","Levantamento terra com barra - Variação 2","gifs/perna/Sentado cadeira extensora with resistance band.gif","5d0dbe3bb6a25f2e6ceabec5373c157f6bbd65bc3fbbada6fd4f3feca5639edd","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_2052816ce53bf20adbef","Desenvolvimento cubano sentado com halteres","Desenvolvimento cubano sentado com halteres","gifs/ombros/Remada alta com halteres - Variação 5.gif","3768549975cf1e5efbcf6d4148ca24fdf529299a7fb097db8e6b36b16ce9206c","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_215d7e071a7a86cd3084","Rosca direta com barra","Rosca direta com barra","gifs/biceps/Com barra alternate biceps rosca - Variação 4.gif","10ec5df793578abd7f3a25d2e98ffcaa5a154e4f80955ca0e1b537bdc5e03f38","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_21cfa5624897819f6a28","Avanço com halteres","Avanço com halteres","gifs/perna/Alongamento de avanço lateral.gif","e0f891eae2db4d0dd469d8577417a02128bb0e13a64f9acc4ff6fb26ff610dfb","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_22f0c0c35d00a2c21360","Remada invertida","Remada invertida","gifs/costas/Remada invertida.gif","a73bbd1bb44a60e23b65841ec2bb623d9664908401426c74586f894c7d09730e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_26d8b89e775757f14d62","Abdominal canivete","Abdominal canivete","gifs/abdominais/Abdominal cruzada.gif","dba374bc5ce1ba06105a725abaa6fd0a1daa99601e1d30bdbfb80335ab360917","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_27df1a90dcf13f06dcc9","Abdução de quadril na polia","","gifs/glúteos/Abdução de quadril por cabo.gif","46a1cd07ace34832b331bca5b6b5cee9a199663792898f88b32d7fea1a78fc89","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_29d92338bd5c839be1c2","Tríceps testa com barra","Tríceps testa com barra","gifs/tríceps/Em pé com barra extensão de tríceps.gif","fc25f880f581566f87736d9250fd127da4f009e2cc20ce2546a1d9c44098a234","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_2a1ff9a51c0cacc8f998","Mergulho de tríceps nas paralelas","Mergulho de tríceps nas paralelas","gifs/tríceps/Mergulhos de tríceps.gif","cd66eb0e3514936d45bb0f6caff45a400c98a085909aab5722ebc278e57a37a7","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
